ಪದ,4494,ಹದ,1040,0.62414
ಪಡೆಯಲು,32394,ಹಡೆಯಲು,7,0.99957
ಪದವನ್ನು,971,ಹದವನ್ನು,25,0.9498
ಪದಗಳು,73431,ಹದಗಳು,2,0.99995
ಪಟ್ಟಿ,20705,ಹಟ್ಟಿ,1351,0.87749
ಪ್ಯಾರಿಸ್,1368,ಹ್ಯಾರಿಸ್,1475,-0.03764
ಪರಿಹರಿಸಲು,1808,ಹರಿಹರಿಸಲು,1,0.99889
ಪತ್ರ,34013,ಹತ್ರ,604,0.9651
ಪಂಗು,15,ಹಂಗು,713,-0.95879
ಪುಟ್ಟ,24837,ಹುಟ್ಟ,36,0.99711
ಪದ್,1,ಹದ್,2,-0.33333
ಪುರಿ,1605,ಹುರಿ,312,0.67449
ಪದದ,1749,ಹದದ,13,0.98524
ಪರದೆ,2062,ಹರದೆ,4,0.99613
ಪಡೆ,11531,ಹಡೆ,14,0.99757
ಪಾಳಿ,551,ಹಾಳಿ,35,0.88055
ಪೊಗು,5,ಹೊಗು,16,-0.52381
ಪುಗು,5,ಹುಗು,8,-0.23077
ಪೊಡಮಡು,10,ಹೊಡಮಡು,3,0.53846
ಪಡಿ,343,ಹಡಿ,9,0.94886
ಪಡಿಯರ,15,ಹಡಿಯರ,12,0.11111
ಪಡಿಯಱ,12,ಹಡಿಯಱ,12,0.0
ಪಡಿಯಾಱ,12,ಹಡಿಯಾಱ,12,0.0
ಪಡಿಹಾಱ,12,ಹಡಿಹಾಱ,12,0.0
ಪಣೆಗಣ್ಣ,1,ಹಣೆಗಣ್ಣ,22,-0.91304
ಪಣೆ,18,ಹಣೆ,861,-0.95904
ಪಡು,250,ಹಡು,7,0.94553
ಪೇರಡವಿ,4,ಹೇರಡವಿ,4,0.0
ಪೆರ್,9,ಹೆರ್,16,-0.28
ಪಾವು,81,ಹಾವು,4954,-0.96783
ಪಾರು,2076,ಹಾರು,162,0.85523
ಪಾಗದ,36,ಹಾಗದ,2,0.89474
ಪೂಣಿಗ,8,ಹೂಣಿಗ,11,-0.15789
ಪೂಡ್,1,ಹೂಡ್,3,-0.5
ಪಂಪ,660,ಹಂಪ,151,0.62762
ಪಡೆಯುವಿಕೆ,53,ಹಡೆಯುವಿಕೆ,4,0.85965
ಪೊಸ,25,ಹೊಸ,196458,-0.99975
ಪೊನ್,58,ಹೊನ್,10,0.70588
ಪೆಣ್,10,ಹೆಣ್,31,-0.5122
ಪುಟಿ,27,ಹುಟಿ,1,0.92857
ಪರ,44082,ಹರ,695,0.96896
ಪರೆ,87,ಹರೆ,62,0.16779
ಪಡೆದು,47198,ಹಡೆದು,14,0.99941
ಪಾಲೀ,8,ಹಾಲೀ,82,-0.82222
ಪೆಟ್ಟು,3400,ಹೆಟ್ಟು,12,0.99297
ಪೊಯ್,13,ಹೊಯ್,28,-0.36585
ಪುಯಿ,18,ಹುಯಿ,32,-0.28
ಪೊಯಿ,11,ಹೊಯಿ,6,0.29412
ಪೊಯ್ದು,3,ಹೊಯ್ದು,71,-0.91892
ಪಂಜೆ,97,ಹಂಜೆ,26,0.57724
ಪತ್ತೆ,15685,ಹತ್ತೆ,24,0.99694
ಪಟ್ಟಾ,324,ಹಟ್ಟಾ,4,0.97561
ಪೇಸು,5,ಹೇಸು,23,-0.64286
ಪಾಲಿದೆ,139,ಹಾಲಿದೆ,6,0.91724
ಪೊದರ್ವನೆ,3,ಹೊದರ್ವನೆ,4,-0.14286
ಪಡೆಯ,4566,ಹಡೆಯ,1,0.99956
ಪಕ್ಕ,2381,ಹಕ್ಕ,59,0.95164
ಪುಡಿಯೇಳು,3,ಹುಡಿಯೇಳು,3,0.0
ಪಾಳುಬೀಳು,3,ಹಾಳುಬೀಳು,4,-0.14286
ಪಾಳ್ಗೆಯ್,3,ಹಾಳ್ಗೆಯ್,3,0.0
ಪಾಳಿಡು,3,ಹಾಳಿಡು,3,0.0
ಪುಡಿಗೂಡಿಸು,3,ಹುಡಿಗೂಡಿಸು,3,0.0
ಪೆದ್ದ,122,ಹೆದ್ದ,5,0.92126
ಪು,430,ಹು,578,-0.14683
ಪೊಡವಡಿಕೆ,5,ಹೊಡವಡಿಕೆ,1,0.66667
ಪೈರು,540,ಹೈರು,2,0.99262
ಪೊಳ್ಳು,474,ಹೊಳ್ಳು,17,0.93075
ಪಟ್ಟಿಯ,1048,ಹಟ್ಟಿಯ,186,0.69854
ಪದಕ್ಕೆ,375,ಹದಕ್ಕೆ,449,-0.08981
ಪಗಡೆ,158,ಹಗಡೆ,18,0.79545
ಪದವರಿಕೆ,3,ಹದವರಿಕೆ,5,-0.25
ಪಟ್ಟ,6199,ಹಟ್ಟ,2,0.99935
ಪೊಂದು,9,ಹೊಂದು,861,-0.97931
ಪಡೆದ,29660,ಹಡೆದ,49,0.9967
ಪರ್ದು,5,ಹರ್ದು,7,-0.16667
ಪದ್ದು,35,ಹದ್ದು,485,-0.86538
ಪದಿ,13,ಹದಿ,231,-0.89344
ಪೆಂಪು,21,ಹೆಂಪು,10,0.35484
ಪೆಂಪೇ,1,ಹೆಂಪೇ,1,0.0
ಪೞ,7,ಹೞ,1,0.75
ಪಾಲು,4358,ಹಾಲು,19114,-0.62866
ಪಾಲಾ,91,ಹಾಲಾ,15,0.71698
ಪಾಲಿ,469,ಹಾಲಿ,13270,-0.93173
ಪಳಗದ,19,ಹಳಗದ,1,0.9
ಪಸಿ,14,ಹಸಿ,4512,-0.99381
ಪರಜು,11,ಹರಜು,3,0.57143
ಪಡ,49,ಹಡ,14,0.55556
ಪಿಂ,4,ಹಿಂ,178,-0.95604
